Order_Number,Order_Date,Ship_Date,Customer_Name_Index,Channel,Currency_Code,Warehouse_Code,Delivery_Region_Index,Product_Description_Index,Order_Quantity,Unit_Selling_Price,Unit_Cost
SO - 000225,1/1/2020,1/13/2020,28,Wholesale,NZD,AXW291,71,11,6,2499.1,1824.343
SO - 0003378,1/1/2020,1/6/2020,7,Distributor,NZD,AXW291,54,7,11,2351.7,1269.918
SO - 0003901,1/1/2020,1/5/2020,12,Wholesale,NZD,AXW291,58,13,5,1728.6,1019.874
SO - 0005126,1/1/2020,1/17/2020,5,Wholesale,USD,AXW291,29,7,6,978.2,684.74
SO - 0005614,1/1/2020,1/7/2020,27,Export,NZD,AXW291,31,6,7,2338.3,1028.852
SO - 0005781,1/1/2020,1/15/2020,44,Wholesale,GBP,AXW291,78,9,8,2291.4,1260.27
SO - 0002911,1/2/2020,1/15/2020,37,Wholesale,EUR,AXW291,2,2,6,911.2,665.176
SO - 0003527,1/2/2020,1/19/2020,8,Wholesale,USD,AXW291,77,9,11,1701.8,1429.512
SO - 0004792,1/2/2020,1/13/2020,14,Wholesale,NZD,AXW291,82,11,6,167.5,83.75
SO - 0005414,1/2/2020,1/5/2020,47,Wholesale,USD,AXW291,71,7,7,1835.8,1413.566
SO - 0005609,1/2/2020,1/10/2020,22,Distributor,NZD,AXW291,5,1,7,3966.4,1903.872
SO - 0006308,1/2/2020,1/19/2020,39,Wholesale,USD,AXW291,42,1,8,214.4,124.352
SO - 0006534,1/2/2020,1/11/2020,46,Distributor,NZD,AXW291,87,2,9,5152.3,3709.656
SO - 0007139,1/2/2020,1/9/2020,45,Wholesale,NZD,AXW291,80,1,6,2418.7,1910.773
SO - 000450,1/3/2020,1/19/2020,20,Wholesale,EUR,AXW291,38,7,7,1078.7,906.108
SO - 000848,1/3/2020,1/12/2020,36,Wholesale,NZD,AXW291,97,1,9,2217.7,1596.744
SO - 0001724,1/3/2020,1/19/2020,30,Wholesale,AUD,AXW291,88,9,11,1038.5,633.485
SO - 0002078,1/3/2020,1/14/2020,5,Wholesale,GBP,AXW291,6,2,5,3999.9,3279.918
SO - 0002795,1/3/2020,1/9/2020,11,Wholesale,NZD,AXW291,95,5,12,3872.6,2517.19
SO - 0003775,1/3/2020,1/15/2020,5,Distributor,GBP,AXW291,37,2,12,891.1,516.838
SO - 0004247,1/3/2020,1/14/2020,14,Export,NZD,AXW291,53,1,6,3879.3,2056.029
SO - 0004386,1/3/2020,1/8/2020,39,Distributor,AUD,AXW291,77,7,9,1045.2,418.08
SO - 0004592,1/3/2020,1/6/2020,17,Wholesale,NZD,AXW291,6,2,12,5406.9,3676.692
SO - 0005716,1/3/2020,1/8/2020,11,Wholesale,NZD,AXW291,60,2,12,234.5,189.945
SO - 0005751,1/3/2020,1/21/2020,29,Wholesale,NZD,AXW291,47,2,5,1943,1651.55
SO - 0006419,1/3/2020,1/18/2020,41,Distributor,USD,AXW291,30,2,10,1058.6,666.918
SO - 0006790,1/3/2020,1/13/2020,33,Wholesale,USD,AXW291,63,1,10,2532.6,1696.842
SO - 0006962,1/3/2020,1/10/2020,34,Distributor,GBP,AXW291,65,11,9,2720.2,1251.292
SO - 0007587,1/3/2020,1/6/2020,5,Export,USD,AXW291,27,6,10,2391.9,1363.383
SO - 0001259,1/4/2020,1/11/2020,50,Distributor,AUD,AXW291,28,1,8,3825.7,2601.476
SO - 0002564,1/4/2020,1/13/2020,43,Wholesale,AUD,AXW291,83,7,12,167.5,103.85
SO - 0002922,1/4/2020,1/15/2020,44,Wholesale,EUR,AXW291,83,1,6,247.9,123.95
SO - 0002932,1/4/2020,1/12/2020,29,Wholesale,GBP,AXW291,59,1,5,1112.2,544.978
SO - 0004007,1/4/2020,1/13/2020,39,Wholesale,NZD,AXW291,99,11,11,1011.7,586.786
SO - 0004967,1/4/2020,1/9/2020,29,Distributor,AUD,AXW291,92,8,12,3845.8,2230.564
SO - 0005147,1/4/2020,1/18/2020,48,Export,NZD,AXW291,23,11,6,1065.3,777.669
SO - 0005582,1/4/2020,1/11/2020,17,Wholesale,AUD,AXW291,70,8,7,2539.3,1625.152
SO - 0007099,1/4/2020,1/20/2020,42,Distributor,USD,AXW291,99,5,7,3899.4,1598.754
SO - 000513,1/5/2020,1/15/2020,35,Distributor,USD,AXW291,25,5,11,3946.3,2012.613
SO - 0001219,1/5/2020,1/20/2020,20,Wholesale,NZD,AXW291,54,7,5,180.9,130.248
SO - 0001802,1/5/2020,1/10/2020,9,Distributor,USD,AXW291,11,13,9,1159.1,533.186
SO - 0003588,1/5/2020,1/15/2020,26,Export,NZD,AXW291,100,7,7,214.4,137.216
SO - 0005064,1/5/2020,1/11/2020,31,Distributor,USD,AXW291,68,11,8,2626.4,1365.728
SO - 0005739,1/5/2020,1/20/2020,37,Wholesale,GBP,AXW291,2,7,5,1132.3,600.119
SO - 0001627,1/6/2020,1/9/2020,47,Distributor,NZD,AXW291,58,14,10,3959.7,3009.372
SO - 0002047,1/6/2020,1/9/2020,46,Wholesale,AUD,AXW291,11,11,9,1775.5,994.28
SO - 0003949,1/6/2020,1/12/2020,10,Wholesale,USD,AXW291,11,7,6,3088.7,2069.429
SO - 0003973,1/6/2020,1/20/2020,4,Wholesale,USD,AXW291,80,8,7,6170.7,4998.267
SO - 0004731,1/6/2020,1/19/2020,47,Distributor,NZD,AXW291,29,11,6,2532.6,1696.842
SO - 0005824,1/6/2020,1/17/2020,21,Wholesale,NZD,AXW291,5,13,6,1112.2,778.54
SO - 0006514,1/6/2020,1/19/2020,36,Wholesale,NZD,AXW291,30,10,10,1078.7,431.48
SO - 0006820,1/6/2020,1/11/2020,20,Wholesale,NZD,AXW291,39,6,7,1145.7,515.565
SO - 0007187,1/6/2020,1/23/2020,12,Wholesale,USD,AXW291,31,7,11,1031.8,588.126
SO - 0006661,1/7/2020,1/14/2020,35,Wholesale,AUD,AXW291,95,7,6,3370.1,2257.967
SO - 0006737,1/7/2020,1/12/2020,21,Wholesale,USD,AXW291,98,7,6,1206,964.8
SO - 0007183,1/7/2020,1/23/2020,13,Distributor,NZD,AXW291,41,1,9,268,222.44
SO - 0002801,1/8/2020,1/15/2020,7,Distributor,AUD,AXW291,28,2,6,1031.8,412.72
SO - 0005813,1/8/2020,1/22/2020,41,Wholesale,USD,AXW291,17,1,7,1159.1,788.188
SO - 0007632,1/8/2020,1/13/2020,41,Distributor,NZD,AXW291,17,2,10,3939.6,1851.612
SO - 000992,1/9/2020,1/24/2020,49,Export,USD,AXW291,65,7,7,3912.8,2778.088
SO - 0002398,1/9/2020,1/13/2020,32,Wholesale,NZD,AXW291,42,13,12,1996.6,1637.212
SO - 0002741,1/9/2020,1/24/2020,48,Wholesale,USD,AXW291,42,7,9,1775.5,1473.665
SO - 0003918,1/9/2020,1/12/2020,31,Wholesale,AUD,AXW291,72,13,6,1105.5,851.235
SO - 0004955,1/9/2020,1/15/2020,23,Export,EUR,AXW291,33,8,8,5561,2335.62
SO - 0005615,1/9/2020,1/17/2020,40,Wholesale,NZD,AXW291,64,5,5,3939.6,2087.988
SO - 0001521,1/10/2020,1/19/2020,5,Export,NZD,AXW291,21,12,7,1065.3,724.404
SO - 0003239,1/10/2020,1/24/2020,34,Distributor,AUD,AXW291,19,2,6,3966.4,1586.56
SO - 0005857,1/10/2020,1/14/2020,36,Wholesale,USD,AXW291,59,11,9,1072,600.32
SO - 0006447,1/10/2020,1/22/2020,7,Distributor,USD,AXW291,9,2,5,2680,2117.2
SO - 0007054,1/10/2020,1/18/2020,48,Distributor,GBP,AXW291,46,5,8,2525.9,1818.648
SO - 000657,1/11/2020,1/22/2020,18,Export,USD,AXW291,91,11,10,1118.9,492.316
SO - 0003221,1/11/2020,1/18/2020,49,Wholesale,NZD,AXW291,27,2,9,2237.8,1409.814
SO - 0003879,1/11/2020,1/18/2020,6,Wholesale,USD,AXW291,79,2,9,1273,1043.86
SO - 0005097,1/11/2020,1/26/2020,1,Distributor,USD,AXW291,38,4,12,2505.8,1954.524
SO - 000521,1/12/2020,1/21/2020,41,Wholesale,USD,AXW291,29,5,5,1105.5,740.685
SO - 0003792,1/12/2020,1/20/2020,27,Wholesale,USD,AXW291,92,11,7,187.6,146.328
SO - 0004448,1/12/2020,1/21/2020,44,Wholesale,NZD,AXW291,64,7,11,3845.8,2615.144
SO - 0005756,1/12/2020,1/15/2020,34,Export,NZD,AXW291,63,7,5,3631.4,1561.502
SO - 0007230,1/12/2020,1/16/2020,50,Distributor,USD,AXW291,43,11,6,3899.4,3275.496
SO - 0003422,1/13/2020,1/20/2020,33,Distributor,GBP,AXW291,10,2,11,221.1,121.605
SO - 0004790,1/13/2020,1/18/2020,29,Export,USD,AXW291,57,5,12,1085.4,607.824
SO - 0007086,1/13/2020,1/25/2020,18,Wholesale,AUD,AXW291,70,2,7,2345,1219.4
SO - 0007336,1/13/2020,1/24/2020,4,Distributor,NZD,AXW291,92,2,11,1125.6,619.08
SO - 0008075,1/13/2020,1/29/2020,30,Wholesale,NZD,AXW291,84,2,7,790.6,490.172
SO - 000893,1/14/2020,2/1/2020,4,Distributor,USD,AXW291,3,14,11,6103.7,2746.665
SO - 0003170,1/14/2020,2/1/2020,23,Distributor,NZD,AXW291,55,14,11,1969.8,827.316
SO - 0003190,1/14/2020,1/31/2020,28,Wholesale,GBP,AXW291,92,6,10,201,160.8
SO - 0003227,1/14/2020,1/27/2020,39,Wholesale,USD,AXW291,44,1,7,1065.3,862.893
SO - 0005834,1/14/2020,1/23/2020,28,Wholesale,NZD,AXW291,68,5,7,3906.1,2538.965
SO - 0006227,1/14/2020,1/25/2020,8,Wholesale,AUD,AXW291,51,7,11,1159.1,602.732
SO - 0007460,1/14/2020,1/17/2020,3,Wholesale,AUD,AXW291,52,1,10,1011.7,556.435
SO - 0001326,1/15/2020,1/21/2020,3,Distributor,NZD,AXW291,47,11,12,201,152.76
SO - 0003367,1/15/2020,1/25/2020,35,Wholesale,NZD,AXW291,36,1,5,2968.1,1187.24
SO - 0003549,1/15/2020,1/31/2020,49,Distributor,USD,AXW291,41,1,12,1045.2,480.792
SO - 0006511,1/15/2020,1/20/2020,45,Distributor,NZD,AXW291,27,11,8,2465.6,1873.856
SO - 0006598,1/15/2020,1/23/2020,9,Wholesale,EUR,AXW291,6,2,11,871,540.02
SO - 0007322,1/15/2020,1/22/2020,11,Wholesale,AUD,AXW291,25,11,5,4020,3095.4
SO - 000107,1/16/2020,1/24/2020,14,Distributor,EUR,AXW291,98,1,10,1192.6,536.67
SO - 000593,1/16/2020,1/27/2020,18,Wholesale,AUD,AXW291,7,13,8,5547.6,4216.176
